period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units,region
2025-04-23,PJM,"PJM Interconnection, LLC",NG,Net generation,Central,Central,2006025,megawatthours,Chicago
2025-04-23,PJM,"PJM Interconnection, LLC",NG,Net generation,Eastern,Eastern,2006595,megawatthours,Chicago
2025-04-23,PJM,"PJM Interconnection, LLC",NG,Net generation,Mountain,Mountain,2003818,megawatthours,Chicago
2025-04-23,PJM,"PJM Interconnection, LLC",NG,Net generation,Pacific,Pacific,2001023,megawatthours,Chicago
2025-04-23,PJM,"PJM Interconnection, LLC",TI,Total interchange,Arizona,Arizona,35576,megawatthours,Chicago
2025-04-23,PJM,"PJM Interconnection, LLC",TI,Total interchange,Central,Central,39887,megawatthours,Chicago
2025-04-23,PJM,"PJM Interconnection, LLC",TI,Total interchange,Eastern,Eastern,40041,megawatthours,Chicago
2025-04-23,PJM,"PJM Interconnection, LLC",TI,Total interchange,Mountain,Mountain,38160,megawatthours,Chicago
2025-04-23,PJM,"PJM Interconnection, LLC",TI,Total interchange,Pacific,Pacific,35576,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1991453,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",D,Demand,Central,Central,1990303,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",D,Demand,Eastern,Eastern,1989232,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",D,Demand,Mountain,Mountain,1990828,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1991453,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Arizona,Arizona,1962343,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Central,Central,1961826,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Eastern,Eastern,1961297,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Mountain,Mountain,1962128,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Pacific,Pacific,1962343,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",NG,Net generation,Arizona,Arizona,1998221,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",NG,Net generation,Central,Central,1996655,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",NG,Net generation,Eastern,Eastern,1995481,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",NG,Net generation,Mountain,Mountain,1997434,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",NG,Net generation,Pacific,Pacific,1998221,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",TI,Total interchange,Arizona,Arizona,6772,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",TI,Total interchange,Central,Central,6355,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",TI,Total interchange,Eastern,Eastern,6251,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",TI,Total interchange,Mountain,Mountain,6609,megawatthours,Chicago
2025-04-24,PJM,"PJM Interconnection, LLC",TI,Total interchange,Pacific,Pacific,6772,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1973234,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",D,Demand,Central,Central,1971502,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",D,Demand,Eastern,Eastern,1971678,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",D,Demand,Mountain,Mountain,1972530,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1973234,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Arizona,Arizona,1921461,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Central,Central,1925491,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Eastern,Eastern,1927140,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Mountain,Mountain,1923637,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Pacific,Pacific,1921461,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",NG,Net generation,Arizona,Arizona,1987515,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",NG,Net generation,Central,Central,1982554,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",NG,Net generation,Eastern,Eastern,1982702,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",NG,Net generation,Mountain,Mountain,1984786,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",NG,Net generation,Pacific,Pacific,1987515,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",TI,Total interchange,Arizona,Arizona,14276,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",TI,Total interchange,Central,Central,11048,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",TI,Total interchange,Eastern,Eastern,11020,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",TI,Total interchange,Mountain,Mountain,12252,megawatthours,Chicago
2025-04-25,PJM,"PJM Interconnection, LLC",TI,Total interchange,Pacific,Pacific,14276,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1844781,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",D,Demand,Central,Central,1852432,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",D,Demand,Eastern,Eastern,1855708,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",D,Demand,Mountain,Mountain,1848212,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1844781,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Arizona,Arizona,1775810,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Central,Central,1776214,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Eastern,Eastern,1777237,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Mountain,Mountain,1775633,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Pacific,Pacific,1775810,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",NG,Net generation,Arizona,Arizona,1884595,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",NG,Net generation,Central,Central,1893362,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",NG,Net generation,Eastern,Eastern,1896224,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",NG,Net generation,Mountain,Mountain,1888858,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",NG,Net generation,Pacific,Pacific,1884595,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",TI,Total interchange,Arizona,Arizona,39811,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",TI,Total interchange,Central,Central,40926,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",TI,Total interchange,Eastern,Eastern,40512,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",TI,Total interchange,Mountain,Mountain,40642,megawatthours,Chicago
2025-04-26,PJM,"PJM Interconnection, LLC",TI,Total interchange,Pacific,Pacific,39811,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1744074,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",D,Demand,Central,Central,1742405,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",D,Demand,Eastern,Eastern,1742725,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",D,Demand,Mountain,Mountain,1743036,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1744074,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Arizona,Arizona,1733784,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Central,Central,1732940,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Eastern,Eastern,1733437,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Mountain,Mountain,1733200,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Pacific,Pacific,1733784,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",NG,Net generation,Arizona,Arizona,1799636,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",NG,Net generation,Central,Central,1798130,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",NG,Net generation,Eastern,Eastern,1798094,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",NG,Net generation,Mountain,Mountain,1798765,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",NG,Net generation,Pacific,Pacific,1799636,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",TI,Total interchange,Arizona,Arizona,55561,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",TI,Total interchange,Central,Central,55724,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",TI,Total interchange,Eastern,Eastern,55368,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",TI,Total interchange,Mountain,Mountain,55728,megawatthours,Chicago
2025-04-27,PJM,"PJM Interconnection, LLC",TI,Total interchange,Pacific,Pacific,55561,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1953655,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",D,Demand,Central,Central,1947033,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",D,Demand,Eastern,Eastern,1942538,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",D,Demand,Mountain,Mountain,1950917,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1953655,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Arizona,Arizona,1896575,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Central,Central,1893306,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Eastern,Eastern,1890624,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Mountain,Mountain,1895237,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Pacific,Pacific,1896575,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",NG,Net generation,Arizona,Arizona,2009277,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",NG,Net generation,Central,Central,2000335,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",NG,Net generation,Eastern,Eastern,1994953,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",NG,Net generation,Mountain,Mountain,2005138,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",NG,Net generation,Pacific,Pacific,2009277,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",TI,Total interchange,Arizona,Arizona,55623,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",TI,Total interchange,Central,Central,53303,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",TI,Total interchange,Eastern,Eastern,52416,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",TI,Total interchange,Mountain,Mountain,54222,megawatthours,Chicago
2025-04-28,PJM,"PJM Interconnection, LLC",TI,Total interchange,Pacific,Pacific,55623,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2026336,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",D,Demand,Central,Central,2024656,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",D,Demand,Eastern,Eastern,2023761,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",D,Demand,Mountain,Mountain,2025507,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2026336,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Arizona,Arizona,2019800,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Central,Central,2015604,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Eastern,Eastern,2013028,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Mountain,Mountain,2017852,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Pacific,Pacific,2019800,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",NG,Net generation,Arizona,Arizona,2077085,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",NG,Net generation,Central,Central,2077026,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",NG,Net generation,Eastern,Eastern,2077287,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",NG,Net generation,Mountain,Mountain,2076827,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",NG,Net generation,Pacific,Pacific,2077085,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",TI,Total interchange,Arizona,Arizona,50745,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",TI,Total interchange,Central,Central,52367,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",TI,Total interchange,Eastern,Eastern,53523,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",TI,Total interchange,Mountain,Mountain,51316,megawatthours,Chicago
2025-04-29,PJM,"PJM Interconnection, LLC",TI,Total interchange,Pacific,Pacific,50745,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2036819,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",D,Demand,Central,Central,2038446,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",D,Demand,Eastern,Eastern,2038838,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",D,Demand,Mountain,Mountain,2037675,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2036819,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Arizona,Arizona,2018784,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Central,Central,2019885,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Eastern,Eastern,2020307,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Mountain,Mountain,2019341,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Pacific,Pacific,2018784,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",NG,Net generation,Arizona,Arizona,2089520,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",NG,Net generation,Central,Central,2084303,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",NG,Net generation,Eastern,Eastern,2083161,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",NG,Net generation,Mountain,Mountain,2086792,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",NG,Net generation,Pacific,Pacific,2089520,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",TI,Total interchange,Arizona,Arizona,52695,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",TI,Total interchange,Central,Central,45850,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",TI,Total interchange,Eastern,Eastern,44316,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",TI,Total interchange,Mountain,Mountain,49111,megawatthours,Chicago
2025-04-30,PJM,"PJM Interconnection, LLC",TI,Total interchange,Pacific,Pacific,52695,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2060594,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",D,Demand,Central,Central,2056216,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",D,Demand,Eastern,Eastern,2054526,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",D,Demand,Mountain,Mountain,2058037,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2060594,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Arizona,Arizona,2025678,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Central,Central,2024725,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Eastern,Eastern,2024215,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Mountain,Mountain,2025196,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Pacific,Pacific,2025678,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",NG,Net generation,Arizona,Arizona,2131585,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",NG,Net generation,Central,Central,2133359,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",NG,Net generation,Eastern,Eastern,2133015,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",NG,Net generation,Mountain,Mountain,2132400,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",NG,Net generation,Pacific,Pacific,2131585,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",TI,Total interchange,Arizona,Arizona,70990,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",TI,Total interchange,Central,Central,77142,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",TI,Total interchange,Eastern,Eastern,78488,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",TI,Total interchange,Mountain,Mountain,74362,megawatthours,Chicago
2025-05-01,PJM,"PJM Interconnection, LLC",TI,Total interchange,Pacific,Pacific,70990,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2092208,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",D,Demand,Central,Central,2096226,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",D,Demand,Eastern,Eastern,2096756,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",D,Demand,Mountain,Mountain,2094342,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2092208,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Arizona,Arizona,2075805,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Central,Central,2075323,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Eastern,Eastern,2074432,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Mountain,Mountain,2075840,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Pacific,Pacific,2075805,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",NG,Net generation,Arizona,Arizona,2133718,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",NG,Net generation,Central,Central,2135951,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",NG,Net generation,Eastern,Eastern,2136586,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",NG,Net generation,Mountain,Mountain,2134771,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",NG,Net generation,Pacific,Pacific,2133718,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",TI,Total interchange,Arizona,Arizona,41506,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",TI,Total interchange,Central,Central,39720,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",TI,Total interchange,Eastern,Eastern,39825,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",TI,Total interchange,Mountain,Mountain,40424,megawatthours,Chicago
2025-05-02,PJM,"PJM Interconnection, LLC",TI,Total interchange,Pacific,Pacific,41506,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1955557,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",D,Demand,Central,Central,1954386,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",D,Demand,Eastern,Eastern,1955815,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",D,Demand,Mountain,Mountain,1955158,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1955557,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Arizona,Arizona,1940512,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Central,Central,1945086,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Eastern,Eastern,1947739,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Mountain,Mountain,1942690,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Pacific,Pacific,1940512,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",NG,Net generation,Arizona,Arizona,2017983,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",NG,Net generation,Central,Central,2015745,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",NG,Net generation,Eastern,Eastern,2016104,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",NG,Net generation,Mountain,Mountain,2017028,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",NG,Net generation,Pacific,Pacific,2017983,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",TI,Total interchange,Arizona,Arizona,62428,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",TI,Total interchange,Central,Central,61362,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",TI,Total interchange,Eastern,Eastern,60292,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",TI,Total interchange,Mountain,Mountain,61874,megawatthours,Chicago
2025-05-03,PJM,"PJM Interconnection, LLC",TI,Total interchange,Pacific,Pacific,62428,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,1883414,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",D,Demand,Central,Central,1885536,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",D,Demand,Eastern,Eastern,1886444,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",D,Demand,Mountain,Mountain,1884337,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,1883414,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Arizona,Arizona,1821646,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Central,Central,1822796,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Eastern,Eastern,1824554,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Mountain,Mountain,1821777,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Pacific,Pacific,1821646,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",NG,Net generation,Arizona,Arizona,1964907,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",NG,Net generation,Central,Central,1967221,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",NG,Net generation,Eastern,Eastern,1968204,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",NG,Net generation,Mountain,Mountain,1965926,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",NG,Net generation,Pacific,Pacific,1964907,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",TI,Total interchange,Arizona,Arizona,81494,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",TI,Total interchange,Central,Central,81686,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",TI,Total interchange,Eastern,Eastern,81762,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",TI,Total interchange,Mountain,Mountain,81589,megawatthours,Chicago
2025-05-04,PJM,"PJM Interconnection, LLC",TI,Total interchange,Pacific,Pacific,81494,megawatthours,Chicago
2025-05-05,PJM,"PJM Interconnection, LLC",D,Demand,Arizona,Arizona,2005714,megawatthours,Chicago
2025-05-05,PJM,"PJM Interconnection, LLC",D,Demand,Central,Central,2003962,megawatthours,Chicago
2025-05-05,PJM,"PJM Interconnection, LLC",D,Demand,Eastern,Eastern,2002800,megawatthours,Chicago
2025-05-05,PJM,"PJM Interconnection, LLC",D,Demand,Mountain,Mountain,2004900,megawatthours,Chicago
2025-05-05,PJM,"PJM Interconnection, LLC",D,Demand,Pacific,Pacific,2005714,megawatthours,Chicago
2025-05-05,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Arizona,Arizona,1949067,megawatthours,Chicago
2025-05-05,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Central,Central,1947785,megawatthours,Chicago
2025-05-05,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Eastern,Eastern,1946936,megawatthours,Chicago
2025-05-05,PJM,"PJM Interconnection, LLC",DF,Day-ahead demand forecast,Mountain,Mountain,1948510,megawatthours,Chicago
