period,respondent,respondent-name,type,type-name,timezone,timezone-description,value,value-units,region
2025-04-25,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,309721,megawatthours,New York
2025-04-25,NYIS,New York Independent System Operator,NG,Net generation,Mountain,Mountain,310392,megawatthours,New York
2025-04-25,NYIS,New York Independent System Operator,NG,Net generation,Pacific,Pacific,310623,megawatthours,New York
2025-04-25,NYIS,New York Independent System Operator,TI,Total interchange,Arizona,Arizona,-46944,megawatthours,New York
2025-04-25,NYIS,New York Independent System Operator,TI,Total interchange,Central,Central,-47009,megawatthours,New York
2025-04-25,NYIS,New York Independent System Operator,TI,Total interchange,Eastern,Eastern,-47235,megawatthours,New York
2025-04-25,NYIS,New York Independent System Operator,TI,Total interchange,Mountain,Mountain,-46956,megawatthours,New York
2025-04-25,NYIS,New York Independent System Operator,TI,Total interchange,Pacific,Pacific,-46944,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,D,Demand,Arizona,Arizona,350143,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,D,Demand,Central,Central,350683,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,D,Demand,Eastern,Eastern,350989,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,D,Demand,Mountain,Mountain,350409,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,D,Demand,Pacific,Pacific,350143,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Arizona,Arizona,336630,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Central,Central,337036,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Eastern,Eastern,337286,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Mountain,Mountain,336828,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,DF,Day-ahead demand forecast,Pacific,Pacific,336630,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,NG,Net generation,Arizona,Arizona,304113,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,NG,Net generation,Central,Central,304219,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,NG,Net generation,Eastern,Eastern,304321,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,NG,Net generation,Mountain,Mountain,304232,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,NG,Net generation,Pacific,Pacific,304113,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,TI,Total interchange,Arizona,Arizona,-46030,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,TI,Total interchange,Central,Central,-46464,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,TI,Total interchange,Eastern,Eastern,-46668,megawatthours,New York
2025-04-26,NYIS,New York Independent System Operator,TI,Total interchange,Mountain,Mountain,-46177,megawatthours,New York
